Name,Type,Total,Bank,Radio,Television,ComputerInternet,ComputerNoInternet,Landline,Mobile,Both,Bicycle,Scooter,Car
District - Faridkot,Total," 118,193 "," 70,383 "," 16,469 "," 93,053 "," 4,348 "," 7,928 "," 5,047 "," 74,148 "," 16,563 "," 82,761 "," 51,638 "," 15,528 "
District - Faridkot,Rural," 76,262 "," 44,131 "," 11,607 "," 57,538 "," 1,213 "," 3,046 "," 3,000 "," 49,110 "," 8,454 "," 57,633 "," 32,248 "," 9,268 "
District - Faridkot,Urban," 41,931 "," 26,252 "," 4,862 "," 35,515 "," 3,135 "," 4,882 "," 2,047 "," 25,038 "," 8,109 "," 25,128 "," 19,390 "," 6,260 "
District - Bathinda,Total," 266,035 "," 155,531 "," 43,415 "," 204,051 "," 11,284 "," 20,969 "," 11,356 "," 174,630 "," 29,316 "," 176,384 "," 106,010 "," 36,173 "
District - Bathinda,Rural," 170,853 "," 88,977 "," 27,881 "," 120,530 "," 2,362 "," 7,212 "," 6,410 "," 112,566 "," 13,135 "," 114,502 "," 58,393 "," 18,427 "
District - Bathinda,Urban," 95,182 "," 66,554 "," 15,534 "," 83,521 "," 8,922 "," 13,757 "," 4,946 "," 62,064 "," 16,181 "," 61,882 "," 47,617 "," 17,746 "
District - Mansa,Total," 147,127 "," 73,723 "," 13,053 "," 102,314 "," 2,673 "," 7,412 "," 5,059 "," 96,462 "," 10,368 "," 90,845 "," 48,117 "," 12,805 "
District - Mansa,Rural," 115,334 "," 55,170 "," 10,411 "," 75,564 "," 1,053 "," 3,692 "," 3,694 "," 74,638 "," 6,769 "," 70,569 "," 34,081 "," 8,657 "
District - Mansa,Urban," 31,793 "," 18,553 "," 2,642 "," 26,750 "," 1,620 "," 3,720 "," 1,365 "," 21,824 "," 3,599 "," 20,276 "," 14,036 "," 4,148 "
District - Patiala,Total," 361,740 "," 246,192 "," 59,162 "," 308,440 "," 24,274 "," 30,831 "," 19,894 "," 241,577 "," 42,077 "," 253,101 "," 193,945 "," 57,008 "
District - Patiala,Rural," 209,720 "," 128,991 "," 30,882 "," 170,123 "," 3,819 "," 9,045 "," 9,211 "," 142,256 "," 15,499 "," 156,062 "," 101,419 "," 23,011 "
District - Patiala,Urban," 152,020 "," 117,201 "," 28,280 "," 138,317 "," 20,455 "," 21,786 "," 10,683 "," 99,321 "," 26,578 "," 97,039 "," 92,526 "," 33,997 "
District - Amritsar,Total," 480,303 "," 277,569 "," 71,084 "," 413,460 "," 29,961 "," 33,903 "," 26,625 "," 313,792 "," 39,155 "," 286,368 "," 225,063 "," 56,185 "
District - Amritsar,Rural," 212,566 "," 111,901 "," 33,087 "," 171,318 "," 4,180 "," 8,498 "," 9,478 "," 141,477 "," 6,754 "," 152,748 "," 90,702 "," 15,648 "
District - Amritsar,Urban," 267,737 "," 165,668 "," 37,997 "," 242,142 "," 25,781 "," 25,405 "," 17,147 "," 172,315 "," 32,401 "," 133,620 "," 134,361 "," 40,537 "
District - Tarn Taran,Total," 201,047 "," 100,958 "," 35,906 "," 162,147 "," 4,300 "," 8,802 "," 7,888 "," 141,814 "," 6,140 "," 134,781 "," 86,013 "," 15,885 "
District - Tarn Taran,Rural," 175,080 "," 86,103 "," 30,291 "," 139,548 "," 2,755 "," 6,398 "," 6,513 "," 124,184 "," 4,138 "," 121,518 "," 74,528 "," 12,675 "
