Name,Type,Total,Grass,Plastic,Mud,Wood,Stone,StoneMortar,Metal,BurntBrick,Concrete,Other
District - Sonitpur,Rural,"469,542","317,447","3,262","20,917","5,503","2,514","5,174","1,242","97,090","14,347","2,046"
District - Sonitpur,Urban,"59,699","15,328",407,"1,694","1,092",508,"2,590",570,"28,834","8,451",225
District - Lakhimpur,Total,"318,352","241,143","2,466","4,617","1,913","1,123","1,780","1,083","55,655","4,879","3,693"
District - Lakhimpur,Rural,"287,216","228,769","2,119","3,493","1,606",987,"1,600",797,"40,703","3,567","3,575"
District - Lakhimpur,Urban,"31,136","12,374",347,"1,124",307,136,180,286,"14,952","1,312",118
District - Dhemaji,Total,"222,660","188,835","1,875","2,032",971,671,"1,079",409,"19,465",860,"6,463"
District - Dhemaji,Rural,"207,661","181,311","1,792","1,692",645,536,881,311,"13,466",610,"6,417"
District - Dhemaji,Urban,"14,999","7,524",83,340,326,135,198,98,"5,999",250,46
District - Tinsukia,Total,"361,608","213,166","2,199","9,493","6,017","3,104","8,691","2,645","103,452","8,840","4,001"
District - Tinsukia,Rural,"280,122","186,136","1,487","7,557","3,436","1,923","2,860",762,"69,430","2,895","3,636"
District - Tinsukia,Urban,"81,486","27,030",712,"1,936","2,581","1,181","5,831","1,883","34,022","5,945",365
District - Dibrugarh,Total,"362,912","221,611","1,809","7,693","1,950","2,519","7,136","1,601","111,996","4,649","1,948"
District - Dibrugarh,Rural,"291,128","201,377","1,262","6,025",889,"1,145","2,862",726,"73,820","1,452","1,570"
District - Dibrugarh,Urban,"71,784","20,234",547,"1,668","1,061","1,374","4,274",875,"38,176","3,197",378
District - Sivasagar,Total,"385,234","264,172","1,733","5,891","1,476","1,651","4,272","1,003","96,100","4,950","3,986"
District - Sivasagar,Rural,"346,450","251,224","1,550","5,245",978,"1,367","2,997",615,"76,379","2,299","3,796"
District - Sivasagar,Urban,"38,784","12,948",183,646,498,284,"1,275",388,"19,721","2,651",190
District - Jorhat,Total,"350,089","222,542","2,303","7,845","2,819","2,005","7,525","1,178","93,758","5,010","5,104"
District - Jorhat,Rural,"277,610","200,012","1,894","6,014","1,303","1,196","3,343",487,"56,682","1,895","4,784"
District - Jorhat,Urban,"72,479","22,530",409,"1,831","1,516",809,"4,182",691,"37,076","3,115",320
District - Golaghat,Total,"314,210","237,727","1,638","7,919","1,270","1,362","2,497",985,"53,500","2,862","4,450"
District - Golaghat,Rural,"283,147","225,430","1,475","6,921",882,928,"1,808",675,"38,749","1,989","4,290"
District - Golaghat,Urban,"31,063","12,297",163,998,388,434,689,310,"14,751",873,160
