Name,Type,Total,Grass,Plastic,HandmadeTiles,MachinemadeTiles,BurntBrick,Stone,Metal,Concrete,Other
District - Darbhanga,Urban,"89,692","11,534","2,250","11,419",708,"4,638","2,465","14,637","41,778",263
District - Muzaffarpur,Total,"1,093,030","453,525","10,146","161,393","17,838","38,187","40,132","101,395","263,935","6,479"
District - Muzaffarpur,Rural,"980,208","437,634","9,240","156,545","15,640","29,864","33,900","86,158","205,351","5,876"
District - Muzaffarpur,Urban,"112,822","15,891",906,"4,848","2,198","8,323","6,232","15,237","58,584",603
District - Gopalganj,Total,"540,096","141,610","2,480","12,636","2,250","146,742","19,665","78,934","133,182","2,597"
District - Gopalganj,Rural,"505,117","137,257","2,273","12,010","2,023","139,645","18,635","73,461","117,368","2,445"
District - Gopalganj,Urban,"34,979","4,353",207,626,227,"7,097","1,030","5,473","15,814",152
District - Siwan,Total,"655,130","88,552","2,842","24,037","3,698","226,944","20,406","101,715","184,181","2,755"
District - Siwan,Rural,"616,163","87,198","2,635","23,512","3,556","219,264","18,915","96,885","161,584","2,614"
District - Siwan,Urban,"38,967","1,354",207,525,142,"7,680","1,491","4,830","22,597",141
District - Saran (chhapra),Total,"752,320","168,433","3,545","94,730","5,939","197,470","21,511","83,418","173,384","3,890"
District - Saran (chhapra),Rural,"681,435","157,588","3,204","88,411","5,532","188,087","19,205","76,589","139,409","3,410"
District - Saran (chhapra),Urban,"70,885","10,845",341,"6,319",407,"9,383","2,306","6,829","33,975",480
District - Vaishali,Total,"732,733","294,070","4,930","121,153","7,195","19,989","22,434","49,859","209,798","3,305"
District - Vaishali,Rural,"685,002","285,372","4,653","114,017","6,540","18,676","21,229","44,915","186,696","2,904"
District - Vaishali,Urban,"47,731","8,698",277,"7,136",655,"1,313","1,205","4,944","23,102",401
District - Samastipur,Total,"1,028,897","357,155","36,210","315,966","8,347","20,784","13,840","39,102","233,779","3,714"
District - Samastipur,Rural,"989,221","351,389","35,376","311,183","8,084","18,778","12,998","36,431","211,449","3,533"
District - Samastipur,Urban,"39,676","5,766",834,"4,783",263,"2,006",842,"2,671","22,330",181
District - Begusarai,Total,"709,079","197,494","11,641","209,259","5,255","14,701","16,253","13,238","238,329","2,909"
District - Begusarai,Rural,"579,021","178,437","9,597","183,139","3,904","10,972","12,247","8,132","170,103","2,490"
