Name,Type,Total,Electricity,Kerosene,Solar,OtherOil,Other,None
District - Darrang,Total," 	188,052 "," 	45,444 "," 	140,632 "," 	1,669 ", 	83 , 	88 , 	136 
District - Darrang,Rural," 	175,393 "," 	35,211 "," 	138,300 "," 	1,645 ", 	48 , 	75 , 	114 
District - Darrang,Urban," 	12,659 "," 	10,233 "," 	2,332 ", 	24 , 	35 , 	13 , 	22 
District - Udalguri,Total," 	168,047 "," 	53,507 "," 	113,148 ", 	769 , 	102 , 	82 , 	439 
District - Udalguri,Rural," 	159,630 "," 	46,522 "," 	111,854 ", 	747 , 	96 , 	78 , 	333 
District - Udalguri,Urban," 	8,417 "," 	6,985 "," 	1,294 ", 	22 , 	6 , 	4 , 	106 
STATE - BIHAR,Total," 	18,940,629 "," 	3,098,435 "," 	15,612,491 "," 	109,389 "," 	56,234 "," 	49,040 "," 	15,040 "
STATE - BIHAR,Rural," 	16,926,958 "," 	1,754,673 "," 	14,963,756 "," 	104,118 "," 	50,421 "," 	43,027 "," 	10,963 "
STATE - BIHAR,Urban," 	2,013,671 "," 	1,343,762 "," 	648,735 "," 	5,271 "," 	5,813 "," 	6,013 "," 	4,077 "
District - Pashchim Champaran,Total," 	708,065 "," 	57,546 "," 	643,700 "," 	3,183 "," 	2,196 "," 	1,181 ", 	259 
District - Pashchim Champaran,Rural," 	635,151 "," 	25,889 "," 	603,151 "," 	3,029 "," 	1,899 "," 	1,014 ", 	169 
District - Pashchim Champaran,Urban," 	72,914 "," 	31,657 "," 	40,549 ", 	154 , 	297 , 	167 , 	90 
District - Purba Champaran,Total," 	984,303 "," 	74,979 "," 	898,330 "," 	4,510 "," 	3,723 "," 	2,335 ", 	426 
District - Purba Champaran,Rural," 	913,167 "," 	45,777 "," 	857,416 "," 	4,265 "," 	3,514 "," 	1,877 ", 	318 
District - Purba Champaran,Urban," 	71,136 "," 	29,202 "," 	40,914 ", 	245 , 	209 , 	458 , 	108 
